title,description,contributor,author,contributor_note,price,age_group,publisher,isbns,ranks_history,reviews
1 Ragged Ridge Road,,,David Adams Richards,,0.00,,,"[{'isbn10': '0671003542', 'isbn13': '9780671003548'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/1997/08/31/books/books-in-brief-fiction-747866.html', 'article_chapter_link': None}]"
".HACK G.U.   , VOL. 5","This series, set in the future, is about an online, multiplayer game run amok. This volume concludes the tale.",by Hamazaki Tatsuya,Hamazaki Tatsuya,,10.99,,TOKYOPOP,[],[],"[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
...and the Horse He Rode In On: The People V. Kenneth Starr,,,James Carville,,0.00,,,"[{'isbn10': '0684857340', 'isbn13': '9780684857343'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/1998/10/18/books/preaching-to-the-converted.html', 'article_chapter_link': None}]"
"------, THAT'S DELICIOUS",,by Action Bronson with Rachel Wharton,Action Bronson with Rachel Wharton,,0.00,,Abrams,"[{'isbn10': '1419726552', 'isbn13': '9781419726552'}]","[{'primary_isbn10': '1419726552', 'primary_isbn13': '9781419726552', 'rank': 9, 'list_name': 'Advice How-To and Miscellaneous', 'display_name': 'Advice, How-To & Miscellaneous', 'published_date': '2017-10-01', 'bestsellers_date': '2017-09-16', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 1}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
(RE)BORN IN THE USA,The soccer commentator describes how he embraced American popular culture while growing up in Liverpool.,by Roger Bennett,Roger Bennett,,0.00,,Dey Street,"[{'isbn10': '0062958690', 'isbn13': '9780062958693'}, {'isbn10': '0062958720', 'isbn13': '9780062958723'}]","[{'primary_isbn10': '0062958690', 'primary_isbn13': '9780062958693', 'rank': 3, 'list_name': 'Combined Print and E-Book Nonfiction', 'display_name': 'Combined Print & E-Book Nonfiction', 'published_date': '2021-07-18', 'bestsellers_date': '2021-07-03', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '0062958690', 'primary_isbn13': '9780062958693', 'rank': 1, 'list_name': 'Hardcover Nonfiction', 'display_name': 'Hardcover Nonfiction', 'published_date': '2021-07-18', 'bestsellers_date': '2021-07-03', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
'TIS THE SEASON,"Two classic holiday stories — ""Under the Christmas Tree"" (2009) and ""Midnight Confessions"" (2010) — plus the novella ""Backward Glance"" (1991).",by Robyn Carr,Ron Carr,,0.00,,Harlequin Mira,"[{'isbn10': '0778316645', 'isbn13': '9780778316640'}]","[{'primary_isbn10': '0778316645', 'primary_isbn13': '9780778316640', 'rank': 18, 'list_name': 'Mass Market Paperback', 'display_name': 'Paperback Mass-Market Fiction', 'published_date': '2014-11-30', 'bestsellers_date': '2014-11-15', 'weeks_on_list': 0, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '0778316645', 'primary_isbn13': '9780778316640', 'rank': 6, 'list_name': 'Mass Market Paperback', 'display_name': 'Paperback Mass-Market Fiction', 'published_date': '2014-11-16', 'bestsellers_date': '2014-11-01', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 1, 'dagger': 0}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
'Til Faith Do Us Part: How Interfaith Marriage is Transforming America,,,Naomi Schaefer Riley,,0.00,,,"[{'isbn10': '0199873747', 'isbn13': '9780199873746'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/2013/05/26/books/review/til-faith-do-us-part-by-naomi-schaefer-riley.html', 'article_chapter_link': None}]"
'TIL DEATH DO US PART,A matchmaker in Victorian England turns to a crime novelist for help when she starts receiving a series of disturbingly personalized trinkets.,by Amanda Quick,Amanda Quick,,0.00,,Berkley,"[{'isbn10': '069819361X', 'isbn13': '9780698193611'}, {'isbn10': '039917446X', 'isbn13': '9780399174469'}]","[{'primary_isbn10': '069819361X', 'primary_isbn13': '9780698193611', 'rank': 15, 'list_name': 'Combined Print and E-Book Fiction', 'display_name': 'Combined Print & E-Book Fiction', 'published_date': '2016-05-08', 'bestsellers_date': '2016-04-23', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '069819361X', 'primary_isbn13': '9780698193611', 'rank': 9, 'list_name': 'E-Book Fiction', 'display_name': 'E-Book Fiction', 'published_date': '2016-05-08', 'bestsellers_date': '2016-04-23', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
'TIL DEATH,,by Sharon Sala,Sharon Sala,,0.00,,Harlequin Mira,"[{'isbn10': '0778314278', 'isbn13': '9780778314271'}]",[],"[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
"'THE HIGH ROAD TO CHINA: GEORGE BOGLE, THE PANCHEN LAMA AND THE FIRST BRITISH EXPEDITION TO TIBET'",,,KATE TELTSCHER,,0.00,,,"[{'isbn10': '0374217009', 'isbn13': '9780374217006'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/2007/04/22/books/review/Stuart.t.html', 'article_chapter_link': None}]"
'ROCK OF AGES: ''ROLLING STONE'' HISTORY OF ROCK AND ROLL',,,"GEOFFREY STOKES, KEN TUCKER' 'ED WARD",,0.00,,,"[{'isbn10': '0671630687', 'isbn13': '9780671630683'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/1986/12/28/books/three-chord-music-in-a-three-piece-suit.html', 'article_chapter_link': None}]"
"'57, Chicago",,,Steve Monroe,,0.00,,,"[{'isbn10': '0786867302', 'isbn13': '9780786867301'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/2001/07/29/books/books-in-brief-fiction-poetry-319660.html', 'article_chapter_link': None}]"
$20 PER GALLON,,by Christopher Steiner,Christopher Steiner,,0.00,,Grand Central,[],[],"[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
$100 STARTUP,How to build a profitable start up for $100 or less and be your own boss.,by Chris Guillebeau,Chris Guillebeau,,23.00,,Crown Business,"[{'isbn10': '0307951529', 'isbn13': '9780307951526'}]",[],"[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
#NEVERAGAIN,Students from Marjory Stoneman Douglas High School describe the Valentine's Day mass shooting and outline ways to prevent similar incidents.,by David Hogg and Lauren Hogg,David Hogg and Lauren Hogg,,0.00,,Random House,"[{'isbn10': '198480183X', 'isbn13': '9781984801838'}]","[{'primary_isbn10': '198480183X', 'primary_isbn13': '9781984801838', 'rank': 9, 'list_name': 'Paperback Nonfiction', 'display_name': 'Paperback Nonfiction', 'published_date': '2018-07-08', 'bestsellers_date': '2018-06-23', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
#IMOMSOHARD,,by Kristin Hensley and Jen Smedley,Kristin Hensley and Jen Smedley,,0.00,,HarperOne,"[{'isbn10': '006285769X', 'isbn13': '9780062857699'}]","[{'primary_isbn10': '006285769X', 'primary_isbn13': '9780062857699', 'rank': 10, 'list_name': 'Advice How-To and Miscellaneous', 'display_name': 'Advice, How-To & Miscellaneous', 'published_date': '2019-04-21', 'bestsellers_date': '2019-04-06', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 1}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
#GIRLBOSS,An online fashion retailer traces her path to success.,by Sophia Amoruso,Sophia Amoruso,,0.00,,Portfolio/Penguin/Putnam,"[{'isbn10': '039916927X', 'isbn13': '9780399169274'}, {'isbn10': '1591847931', 'isbn13': '9781591847939'}]","[{'primary_isbn10': '1591847931', 'primary_isbn13': '9781591847939', 'rank': 8, 'list_name': 'Business Books', 'display_name': 'Business', 'published_date': '2016-03-13', 'bestsellers_date': '2016-02-27', 'weeks_on_list': 0, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1591847931', 'primary_isbn13': '9781591847939', 'rank': 9, 'list_name': 'Business Books', 'display_name': 'Business', 'published_date': '2016-01-17', 'bestsellers_date': '2016-01-02', 'weeks_on_list': 0, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1591847931', 'primary_isbn13': '9781591847939', 'rank': 9, 'list_name': 'Business Books', 'display_name': 'Business', 'published_date': '2015-12-13', 'bestsellers_date': '2015-11-28', 'weeks_on_list': 0, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1591847931', 'primary_isbn13': '9781591847939', 'rank': 8, 'list_name': 'Business Books', 'display_name': 'Business', 'published_date': '2015-11-15', 'bestsellers_date': '2015-10-31', 'weeks_on_list': 0, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '039916927X', 'primary_isbn13': '9780399169274', 'rank': 10, 'list_name': 'Business Books', 'display_name': 'Business', 'published_date': '2014-11-09', 'bestsellers_date': '2014-10-25', 'weeks_on_list': 0, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '039916927X', 'primary_isbn13': '9780399169274', 'rank': 8, 'list_name': 'Business Books', 'display_name': 'Business', 'published_date': '2014-10-12', 'bestsellers_date': '2014-09-27', 'weeks_on_list': 0, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '039916927X', 'primary_isbn13': '9780399169274', 'rank': 14, 'list_name': 'Advice How-To and Miscellaneous', 'display_name': 'Advice, How-To & Miscellaneous', 'published_date': '2014-09-21', 'bestsellers_date': '2014-09-06', 'weeks_on_list': 0, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
#ASKGARYVEE,"The entrepreneur expands on subjects addressed on his Internet show, like marketing, management and social media.",by Gary Vaynerchuk,Gary Vaynerchuk,,0.00,,HarperCollins,"[{'isbn10': '0062273124', 'isbn13': '9780062273123'}, {'isbn10': '0062273132', 'isbn13': '9780062273130'}]","[{'primary_isbn10': '0062273124', 'primary_isbn13': '9780062273123', 'rank': 5, 'list_name': 'Business Books', 'display_name': 'Business', 'published_date': '2016-04-10', 'bestsellers_date': '2016-03-26', 'weeks_on_list': 0, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 1}, {'primary_isbn10': '0062273124', 'primary_isbn13': '9780062273123', 'rank': 6, 'list_name': 'Advice How-To and Miscellaneous', 'display_name': 'Advice, How-To & Miscellaneous', 'published_date': '2016-03-27', 'bestsellers_date': '2016-03-12', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 1}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
"""MOST BLESSED OF THE PATRIARCHS""",A character study that attempts to make sense of Jefferson’s contradictions.,by Annette Gordon-Reed and Peter S. Onuf,Annette Gordon-Reed and Peter S Onuf,,0.00,,Liveright,"[{'isbn10': '0871404427', 'isbn13': '9780871404428'}]","[{'primary_isbn10': '0871404427', 'primary_isbn13': '9780871404428', 'rank': 16, 'list_name': 'Hardcover Nonfiction', 'display_name': 'Hardcover Nonfiction', 'published_date': '2016-05-01', 'bestsellers_date': '2016-04-16', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 1, 'dagger': 0}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
"""I GIVE YOU MY BODY ...""","The author of the Outlander novels gives tips on writing sex scenes, drawing on examples from the books.",by Diana Gabaldon,Diana Gabaldon,,0.00,,Dell,"[{'isbn10': '0399178570', 'isbn13': '9780399178573'}]","[{'primary_isbn10': '0399178570', 'primary_isbn13': '9780399178573', 'rank': 8, 'list_name': 'Advice How-To and Miscellaneous', 'display_name': 'Advice, How-To & Miscellaneous', 'published_date': '2016-09-04', 'bestsellers_date': '2016-08-20', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
